Position,Team,Played,Wins,Draws,Losses,(GF),(GA),Points,Goals per match 
1,Manchester City,38,28,7,3,96,34,91,2.5
2,Arsenal,38,28,5,5,91,29,89,2.4
3,Liverpool,38,24,10,4,86,41,82,2.3
4,Aston Villa,38,20,8,10,76,61,68,2.0
5,Tottenham Hotspur,38,20,6,12,74,61,66,1.9
6,Chelsea,38,18,9,11,77,63,63,2.0
7,Newcastle United,38,18,6,14,85,62,60,2.2
8,Manchester United,38,18,6,14,57,58,60,1.5
9,West Ham United,38,14,10,14,60,74,52,1.6
10,Crystal Palace,38,13,10,15,57,58,49,1.5
11,Brighton & Hove Albion,38,12,12,14,55,62,48,1.4
12,AFC Bournemouth,38,13,9,16,54,67,48,1.4
13,Fulham,38,13,8,17,55,61,47,1.4
14,Wolverhampton Wanderers,38,13,7,18,50,65,46,1.3
15,Everton,38,13,9,16,40,51,40,1.1
16,Brentford,38,10,9,19,56,65,39,1.5
17,Nottingham Forest,38,9,9,20,49,67,32,1.3
18,Luton Town,38,6,8,24,52,85,26,1.4
19,Burnley,38,5,9,24,41,78,24,1.1
20,Sheffield United,38,3,7,28,35,104,16,0.9
