Rank,Team,Matches,Yellow Cards,Red Cards,Discipline Score,Cards per Match
1,Chelsea,38,105,4,117,2.87
2,Wolverhampton Wanderers,38,100,4,112,2.74
3,Sheffield United,38,95,5,110,2.63
4,Tottenham Hotspur,38,89,4,101,2.45
5,Brighton & Hove Albion,38,91,3,100,2.47
6,Aston Villa,38,94,2,100,2.53
7,Brentford,38,89,2,95,2.39
8,Burnley,38,71,7,92,2.05
9,Fulham,38,78,4,90,2.16
10,AFC Bournemouth,38,79,3,88,2.16
11,Nottingham Forest,38,78,3,87,2.13
12,West Ham United,38,76,3,85,2.08
13,Manchester United,38,81,1,84,2.16
14,Everton,38,80,1,83,2.13
15,Newcastle United,38,77,1,80,2.05
16,Liverpool,38,65,5,80,1.84
17,Crystal Palace,38,69,2,75,1.87
18,Luton Town,38,71,0,71,1.87
19,Arsenal,38,62,2,68,1.68
20,Manchester City,38,52,2,58,1.42
