"Team","Points (Home)","Points (Away)","Home Advantage (pts)","Goal Diff (Home)","Goal Diff (Away)"
Newcastle United,40,20,20,27,-4
Everton,28,12,16,4,-15
Liverpool,48,34,14,32,13
Aston Villa,40,28,12,20,-5
Brighton & Hove Albion,30,18,12,3,-10
Tottenham Hotspur,39,27,12,11,2
Fulham,29,18,11,7,-13
Chelsea,37,26,11,18,-4
Wolverhampton Wanderers,27,19,8,-4,-11
Nottingham Forest,20,12,8,-3,-15
Crystal Palace,28,21,7,11,-12
Manchester United,33,27,6,3,-4
Luton Town,16,10,6,-9,-24
AFC Bournemouth,27,21,6,-1,-12
West Ham United,29,23,6,3,-17
Arsenal,47,42,5,32,30
Brentford,22,17,5,-5,-4
Sheffield United,10,6,4,-38,-31
Manchester City,47,44,3,35,27
Burnley,10,14,-4,-24,-13
