"Rank","Team","l","Red Cards","Discipline Score","Cards per Match"
1,Chelsea,105,4,117,2.87
2,Wolverhampton Wanderers,100,4,112,2.74
3,Sheffield United,95,5,110,2.63
4,Tottenham Hotspur,89,4,101,2.45
5,Brighton & Hove Albion,91,3,100,2.47
6,Aston Villa,94,2,100,2.53
7,Brentford,89,2,95,2.39
8,Burnley,71,7,92,2.05
9,Fulham,78,4,90,2.16
10,AFC Bournemouth,79,3,88,2.16
11,Nottingham Forest,78,3,87,2.13
12,West Ham United,76,3,85,2.08
13,Manchester United,81,1,84,2.16
14,Everton,80,1,83,2.13
15,Newcastle United,77,1,80,2.05
16,Liverpool,65,5,80,1.84
17,Crystal Palace,69,2,75,1.87
18,Luton Town,71,0,71,1.87
19,Arsenal,62,2,68,1.68
20,Manchester City,52,2,58,1.42
